,precision,recall,f1-score,support
0,0.6697247706422018,0.6186440677966102,0.6431718061674009,236.0
1,0.4972067039106145,0.5527950310559007,0.5235294117647059,161.0
accuracy,0.5919395465994962,0.5919395465994962,0.5919395465994962,0.5919395465994962
macro avg,0.5834657372764082,0.5857195494262555,0.5833506089660534,397.0
weighted avg,0.5997615244361929,0.5919395465994962,0.5946518426942677,397.0
